vehicle_id,seg_id,collectiontime,date,time_stamp,road_id,longitude,latitude,speed,acceleratorpedal,brakestatus,gearnum,havebrake,havedriver,end_time
1,0,1718787276000,2024-06-19,2025-11-09 16:54:44.722497337,A0003,123.15274293979117,32.34514469247892,17.3,25.0,0,14,1,1,
1,0,1718787276000,2024-06-19,2025-11-09 16:54:44.722497337,A0003,123.15274293979117,32.34514469247892,17.3,25.0,0,14,1,1,
4,0,1718785999000,2024-06-19,2025-11-09 16:33:28.315674104,A0003,123.15274293979117,32.34514469247892,41.8,2.0,0,14,1,0,
4,0,1718785999000,2024-06-19,2025-11-09 16:33:28.315674104,A0003,123.15274293979117,32.34514469247892,41.8,2.0,0,14,1,0,
7,0,1718788307000,2024-06-19,2025-11-09 17:11:49.729721532,A0003,123.15232342048401,32.345119584454466,8.3,49.0,0,14,0,1,
7,0,1718788312000,2024-06-19,2025-11-09 17:11:54.193869358,A0003,123.15274293979117,32.34514469247892,35.1,21.0,0,14,0,1,
7,0,1718874965000,2024-06-20,2025-11-09 17:16:06.369241884,A0003,123.15232342048401,32.345119584454466,9.0,43.0,0,14,0,1,
7,0,1718874970000,2024-06-20,2025-11-09 17:16:11.295397247,A0003,123.15274293979117,32.34514469247892,36.9,30.0,0,14,0,1,
8,0,1718788194000,2024-06-19,2025-11-09 17:09:58.401672973,A0003,123.15274293979117,32.34514469247892,26.4,14.0,0,14,0,1,
8,0,1718788194000,2024-06-19,2025-11-09 17:09:58.401672973,A0003,123.15274293979117,32.34514469247892,26.4,14.0,0,14,0,1,
8,2,1718789224000,2024-06-19,2025-11-09 17:27:09.729769953,A0003,123.15274293979117,32.34514469247892,25.0,25.0,0,14,0,1,
8,2,1718789224000,2024-06-19,2025-11-09 17:27:09.729769953,A0003,123.15274293979117,32.34514469247892,25.0,25.0,0,14,0,1,
13,0,1718787532000,2024-06-19,16:58:52,A0003,123.152349,32.345105,21.3,35.0,0,14,1,1,
13,0,1718961498000,2024-06-21,2025-11-09 17:18:18.677980730,A0003,123.15274293979117,32.34514469247892,24.9,25.0,0,14,1,1,
13,0,1718961498000,2024-06-21,2025-11-09 17:18:18.677980730,A0003,123.15274293979117,32.34514469247892,24.9,25.0,0,14,1,1,
21,0,1718787424000,2024-06-19,2025-11-09 16:57:10.207464955,A0003,123.15232342048401,32.345119584454466,39.3,0.0,0,14,1,0,
