vehicle_id,seg_id,collectiontime,date,time_stamp,road_id,longitude,latitude,speed,acceleratorpedal,brakestatus,gearnum,havebrake,havedriver
2,0,1718615809000,2024-06-17,17:16:49,A0008,123.18023,32.329221999999994,42.0,0,2,14,1,0
2,0,1718615810000,2024-06-17,17:16:50,A0008,123.180276,32.329125000000005,39.0,0,4,14,1,0
2,0,1718615811000,2024-06-17,17:16:51,A0008,123.180314,32.329035000000005,37.0,3,0,14,0,1
2,0,1718615812000,2024-06-17,17:16:52,A0008,123.180359,32.328953000000006,37.0,20,0,14,0,1
2,0,1718615813000,2024-06-17,17:16:53,A0008,123.18039,32.32887,37.0,22,0,14,0,1
2,0,1718615814000,2024-06-17,17:16:54,A0008,123.180428,32.328786,38.0,0,0,14,0,0
2,0,1718615815000,2024-06-17,17:16:55,A0008,123.180466,32.328703000000004,37.0,24,0,14,0,1
2,0,1718615816000,2024-06-17,17:16:56,A0008,123.180504,32.32862,38.0,25,0,14,0,1
2,0,1718615817000,2024-06-17,17:16:57,A0008,123.180543,32.328536,39.0,0,0,14,0,0
2,0,1718615818000,2024-06-17,17:16:58,A0008,123.180588,32.328446,38.0,0,0,14,0,0
2,0,1718615819000,2024-06-17,17:16:59,A0008,123.180626,32.32836,38.0,0,0,14,0,0
2,0,1718615820000,2024-06-17,17:17:00,A0008,123.180665,32.328276,37.0,0,0,14,0,0
2,0,1718615821000,2024-06-17,17:17:01,A0008,123.180695,32.328194,37.0,0,0,14,0,0
2,0,1718615822000,2024-06-17,17:17:02,A0008,123.180733,32.328112000000004,37.0,0,0,14,0,0
2,0,1718615823000,2024-06-17,17:17:03,A0008,123.180771,32.32803,35.0,0,6,14,1,0
2,0,1718615824000,2024-06-17,17:17:04,A0008,123.180809,32.327948000000006,32.0,0,0,14,0,0
2,0,1718615825000,2024-06-17,17:17:05,A0008,123.18084,32.327876,31.0,0,3,14,1,0
2,0,1718615826000,2024-06-17,17:17:06,A0008,123.180878,32.327805,29.0,0,7,14,1,0
2,0,1718615827000,2024-06-17,17:17:07,A0008,123.180909,32.327736,25.0,0,10,14,1,0
2,0,1718615828000,2024-06-17,17:17:08,A0008,123.180932,32.327679,20.0,0,10,14,1,0
2,0,1718615829000,2024-06-17,17:17:09,A0008,123.180954,32.32763,15.0,0,3,14,1,0
2,0,1718615830000,2024-06-17,17:17:10,A0008,123.18097,32.327595,11.0,0,4,14,1,0
2,0,1718615831000,2024-06-17,17:17:11,A0008,123.180985,32.327569,7.0,0,2,14,1,0
2,0,1718615832000,2024-06-17,17:17:12,A0008,123.180993,32.327553,5.0,0,0,14,0,0
2,0,1718615833000,2024-06-17,17:17:13,A0008,123.181,32.32754,5.0,0,5,14,1,0
2,0,1718615834000,2024-06-17,17:17:14,A0008,123.181008,32.32753,3.0,0,2,14,1,0
2,0,1718615835000,2024-06-17,17:17:15,A0008,123.181016,32.327521000000004,3.0,0,3,14,1,0
2,0,1718615836000,2024-06-17,17:17:16,A0008,123.181016,32.327519,2.0,0,6,14,1,0
2,0,1718615837000,2024-06-17,17:17:17,A0008,123.181016,32.327515000000005,0.0,0,9,14,1,0
2,0,1718615838000,2024-06-17,17:17:18,A0008,123.181016,32.327515000000005,0.0,0,9,14,1,0
2,0,1718615839000,2024-06-17,17:17:19,A0008,123.181016,32.327517,0.0,0,9,14,1,0
2,0,1718615840000,2024-06-17,17:17:20,A0008,123.181016,32.327519,0.0,0,9,14,1,0
2,0,1718615841000,2024-06-17,17:17:21,A0008,123.181016,32.327523,0.0,0,9,14,1,0
2,0,1718615842000,2024-06-17,17:17:22,A0008,123.181008,32.327525,0.0,1,0,14,0,1
2,0,1718615843000,2024-06-17,17:17:23,A0008,123.181008,32.327525,4.0,21,0,14,0,1
2,0,1718615844000,2024-06-17,17:17:24,A0008,123.181008,32.327527,6.0,32,0,14,0,1
2,0,1718615845000,2024-06-17,17:17:25,A0008,123.181016,32.327521000000004,9.0,37,0,14,0,1
2,0,1718615846000,2024-06-17,17:17:26,A0008,123.181023,32.327506,12.0,37,0,14,0,1
2,0,1718615847000,2024-06-17,17:17:27,A0008,123.181031,32.32748100000001,14.0,0,0,14,0,0
2,0,1718615848000,2024-06-17,17:17:28,A0008,123.181046,32.32745,12.0,0,11,14,1,0
2,0,1718615849000,2024-06-17,17:17:29,A0008,123.181061,32.327418,7.0,0,6,14,1,0
2,0,1718615850000,2024-06-17,17:17:30,A0008,123.181069,32.327395,4.0,11,0,14,0,1
2,0,1718615851000,2024-06-17,17:17:31,A0008,123.181077,32.327386000000004,7.0,35,0,14,0,1
2,0,1718615852000,2024-06-17,17:17:32,A0008,123.181077,32.327378,9.0,47,0,14,0,1
2,0,1718615853000,2024-06-17,17:17:33,A0008,123.181092,32.327361,14.0,50,0,14,0,1
2,0,1718615854000,2024-06-17,17:17:34,A0008,123.181099,32.32734,19.0,50,0,14,0,1
2,0,1718615855000,2024-06-17,17:17:35,A0008,123.181123,32.327290000000005,21.0,0,3,14,1,0
2,0,1718615856000,2024-06-17,17:17:36,A0008,123.181145,32.327241,18.0,0,0,14,0,0
2,0,1718615857000,2024-06-17,17:17:37,A0008,123.181168,32.327197,17.0,42,0,14,0,1
2,0,1718615858000,2024-06-17,17:17:38,A0008,123.181183,32.327160000000006,21.0,49,0,14,0,1
2,0,1718615859000,2024-06-17,17:17:39,A0008,123.181206,32.327116000000004,27.0,49,0,14,0,1
2,0,1718615860000,2024-06-17,17:17:40,A0008,123.181229,32.32705900000001,32.0,46,0,14,0,1
2,0,1718615861000,2024-06-17,17:17:41,A0008,123.181252,32.326991,37.0,41,0,14,0,1
2,0,1718615862000,2024-06-17,17:17:42,A0008,123.18129,32.326913000000005,41.0,41,0,14,0,1
2,0,1718615863000,2024-06-17,17:17:43,A0008,123.181321,32.326825,44.0,41,0,14,0,1
2,0,1718615864000,2024-06-17,17:17:44,A0008,123.181359,32.32673,48.0,40,0,14,0,1
2,0,1718615865000,2024-06-17,17:17:45,A0008,123.181405,32.326628,51.0,27,0,14,0,1
2,0,1718615866000,2024-06-17,17:17:46,A0008,123.181458,32.326512,51.0,20,0,14,0,1
2,0,1718615867000,2024-06-17,17:17:47,A0008,123.181511,32.326398,52.0,19,0,14,0,1
2,0,1718615868000,2024-06-17,17:17:48,A0008,123.181565,32.326283000000004,52.0,15,0,14,0,1
2,0,1718615869000,2024-06-17,17:17:49,A0008,123.181634,32.326169,52.0,16,0,14,0,1
2,0,1718615870000,2024-06-17,17:17:50,A0008,123.181694,32.326058,53.0,17,0,14,0,1
2,0,1718615871000,2024-06-17,17:17:51,A0008,123.181771,32.325947,53.0,4,0,14,0,1
2,0,1718615872000,2024-06-17,17:17:52,A0008,123.181847,32.325837,52.0,0,0,14,0,0
2,0,1718615873000,2024-06-17,17:17:53,A0008,123.181931,32.325726,52.0,19,0,14,0,1
2,0,1718615874000,2024-06-17,17:17:54,A0008,123.182,32.325619,52.0,18,0,14,0,1
2,0,1718615875000,2024-06-17,17:17:55,A0008,123.182091,32.325518,52.0,17,0,14,0,1
2,0,1718615876000,2024-06-17,17:17:56,A0008,123.182183,32.325419000000004,52.0,0,0,14,0,0
2,0,1718615877000,2024-06-17,17:17:57,A0008,123.182267,32.325322,52.0,0,0,14,0,0
2,0,1718615878000,2024-06-17,17:17:58,A0008,123.182358,32.325223,50.0,0,0,14,0,0
2,0,1718615879000,2024-06-17,17:17:59,A0008,123.182442,32.325127,50.0,26,0,14,0,1
2,0,1718700790000,2024-06-18,16:53:10,A0008,123.180184,32.329302,42.0,0,0,14,0,0
2,0,1718700791000,2024-06-18,16:53:11,A0008,123.18023,32.32920900000001,41.0,0,3,14,1,0
2,0,1718700792000,2024-06-18,16:53:12,A0008,123.180268,32.329115,37.0,0,5,14,1,0
2,0,1718700793000,2024-06-18,16:53:13,A0008,123.180306,32.329031,34.0,0,3,14,1,0
2,0,1718700794000,2024-06-18,16:53:14,A0008,123.180344,32.328955,31.0,0,0,14,0,0
2,0,1718700795000,2024-06-18,16:53:15,A0008,123.180375,32.328885,31.0,0,0,14,0,0
2,0,1718700796000,2024-06-18,16:53:16,A0008,123.180413,32.328818,31.0,25,0,14,0,1
2,0,1718700797000,2024-06-18,16:53:17,A0008,123.180459,32.328753000000006,32.0,31,0,14,0,1
2,0,1718700798000,2024-06-18,16:53:18,A0008,123.180497,32.328686000000005,34.0,36,0,14,0,1
2,0,1718700799000,2024-06-18,16:53:19,A0008,123.180535,32.328612,37.0,38,0,14,0,1
2,0,1718700800000,2024-06-18,16:53:20,A0008,123.180581,32.32853,40.0,35,0,14,0,1
2,0,1718700801000,2024-06-18,16:53:21,A0008,123.180619,32.32844,42.0,0,0,14,0,0
2,0,1718700802000,2024-06-18,16:53:22,A0008,123.180657,32.328345,42.0,0,0,14,0,0
2,0,1718700803000,2024-06-18,16:53:23,A0008,123.180695,32.328251,41.0,0,0,14,0,0
