vehicle_id,seg_id,collectiontime,date,time_stamp,road_id,longitude,latitude,speed,acceleratorpedal,brakestatus,gearnum,havebrake,havedriver,end_time
1,0,1718787136000,2024-06-19,16:52:16,A0003,123.146328,32.344848,48.2,13.0,0,14,1,1,
1,0,1718787146000,2024-06-19,16:52:26,A0003,123.147662,32.3449,44.6,5.0,0,14,1,1,
1,0,1718787156000,2024-06-19,16:52:36,A0003,123.148998,32.344961999999995,47.1,0.0,0,14,1,0,
1,0,1718787166000,2024-06-19,16:52:46,A0003,123.150124,32.345014,26.2,0.0,0,14,1,0,
1,0,1718787176000,2024-06-19,16:52:56,A0003,123.150548,32.345042,7.3,0.0,0,14,1,1,
1,0,1718787186000,2024-06-19,16:53:06,A0003,123.150725,32.345039,7.2,0.0,0,14,1,1,
1,0,1718787196000,2024-06-19,16:53:16,A0003,123.151062,32.345055,16.5,1.0,0,14,1,1,
1,0,1718787206000,2024-06-19,16:53:26,A0003,123.151635,32.345088,21.6,0.0,0,14,1,0,
1,0,1718787216000,2024-06-19,16:53:36,A0003,123.1519095,32.345097333333335,0.1166666666666666,0.0,0,14,1,1,16:54:26
1,0,1718787276000,2024-06-19,16:54:36,A0003,123.152012,32.345101,17.3,25.0,0,14,1,1,
1,0,1718787286000,2024-06-19,16:54:46,A0003,123.152955,32.345142,39.6,10.0,0,14,1,1,
1,0,1718787296000,2024-06-19,16:54:56,A0003,123.154271,32.34501899999999,52.0,16.0,0,14,1,1,
1,0,1718787306000,2024-06-19,16:55:06,A0003,123.155693,32.344572,50.2,4.0,0,14,1,1,
1,0,1718787316000,2024-06-19,16:55:16,A0003,123.156873,32.343785999999994,53.7,10.0,0,14,1,1,
4,0,1718785969000,2024-06-19,16:32:49,A0003,123.146492,32.344885,63.1,29.0,0,14,0,1,
4,0,1718785979000,2024-06-19,16:32:59,A0003,123.14832,32.34496,60.3,35.0,0,14,0,1,
4,0,1718785989000,2024-06-19,16:33:09,A0003,123.150123,32.345037,57.4,0.0,0,14,1,0,
4,0,1718785999000,2024-06-19,16:33:19,A0003,123.151458,32.34508,41.8,2.0,0,14,1,0,
4,0,1718786009000,2024-06-19,16:33:29,A0003,123.152821,32.34514,51.8,0.0,0,14,1,0,
4,0,1718786019000,2024-06-19,16:33:39,A0003,123.15367025,32.34512925,0.0,0.0,17,14,1,1,16:34:09
4,0,1718786059000,2024-06-19,16:34:19,A0003,123.153778,32.345128,25.0,51.0,0,14,0,1,
4,0,1718786069000,2024-06-19,16:34:29,A0003,123.154929,32.344879,48.9,40.0,0,14,0,1,
4,0,1718786079000,2024-06-19,16:34:39,A0003,123.1562,32.344322,44.8,23.0,0,14,0,1,
4,0,1718786089000,2024-06-19,16:34:49,A0003,123.156872,32.343885,18.1,0.0,0,14,0,1,
4,0,1718786099000,2024-06-19,16:34:59,A0003,123.157088,32.344046,4.0,13.0,0,14,0,1,
5,0,1718788396000,2024-06-19,17:13:16,A0003,123.153327,32.345211,27.6,0.0,0,14,1,0,
5,0,1718788406000,2024-06-19,17:13:26,A0003,123.152771,32.345243999999994,13.9,0.0,0,14,1,0,
5,0,1718788416000,2024-06-19,17:13:36,A0003,123.15263,32.34558199999999,27.4,28.0,0,14,0,1,
5,0,1718788426000,2024-06-19,17:13:46,A0003,123.152583,32.346709000000004,64.7,13.0,0,14,1,0,
5,0,1718788436000,2024-06-19,17:13:56,A0003,123.15252,32.348168,59.5,0.0,0,14,1,0,
5,0,1718788446000,2024-06-19,17:14:06,A0003,123.152468,32.349377000000004,38.8,0.0,1,14,1,0,
7,0,1718788207000,2024-06-19,17:10:07,A0003,123.145554,32.344773,67.4,16.0,0,14,0,1,
7,0,1718788212000,2024-06-19,17:10:12,A0003,123.146557,32.344817,69.0,12.0,0,14,0,1,
7,0,1718788217000,2024-06-19,17:10:17,A0003,123.147558,32.344857,67.3,17.0,0,14,0,1,
7,0,1718788222000,2024-06-19,17:10:22,A0003,123.148544,32.344903,65.9,7.0,0,14,0,1,
7,0,1718788227000,2024-06-19,17:10:27,A0003,123.149475,32.344943,61.8,14.0,0,14,0,1,
7,0,1718788232000,2024-06-19,17:10:32,A0003,123.150369,32.344982,59.0,0.0,0,14,0,0,
7,0,1718788237000,2024-06-19,17:10:37,A0003,123.151166,32.34502,49.2,0.0,0,14,0,0,
7,0,1718788242000,2024-06-19,17:10:42,A0003,123.15175,32.345054,28.5,0.0,0,14,0,0,
7,0,1718788247000,2024-06-19,17:10:47,A0003,123.152044,32.345068,9.9,0.0,101,14,1,0,
7,0,1718788252000,2024-06-19,17:10:52,A0003,123.15212572727272,32.34507100000001,0.0181818181818181,0.0,101,14,1,0,17:11:42
7,0,1718788307000,2024-06-19,17:11:47,A0003,123.152151,32.345073,8.3,49.0,0,14,0,1,
7,0,1718788312000,2024-06-19,17:11:52,A0003,123.152507,32.345096000000005,35.1,21.0,0,14,0,1,
7,0,1718788317000,2024-06-19,17:11:57,A0003,123.15308,32.345108,39.3,8.0,0,14,0,1,
7,0,1718788322000,2024-06-19,17:12:02,A0003,123.153695,32.345083,46.6,31.0,0,14,0,1,
7,0,1718788327000,2024-06-19,17:12:07,A0003,123.154406,32.34498,52.9,18.0,0,14,0,1,
7,0,1718788332000,2024-06-19,17:12:12,A0003,123.15515,32.344763,49.0,0.0,0,14,0,0,
7,0,1718788337000,2024-06-19,17:12:17,A0003,123.155796,32.344482,49.6,21.0,0,14,0,1,
7,0,1718788342000,2024-06-19,17:12:22,A0003,123.156455,32.344074,63.0,23.0,0,14,0,1,
7,0,1718788347000,2024-06-19,17:12:27,A0003,123.157142,32.343481,66.9,18.0,0,14,0,1,
7,0,1718874850000,2024-06-20,17:14:10,A0003,123.145582,32.34477699999999,61.0,14.0,0,14,0,1,
7,0,1718874855000,2024-06-20,17:14:15,A0003,123.146503,32.344815999999994,64.4,15.0,0,14,0,1,
7,0,1718874860000,2024-06-20,17:14:20,A0003,123.147439,32.344854999999995,65.7,15.0,0,14,0,1,
7,0,1718874865000,2024-06-20,17:14:25,A0003,123.148399,32.344896000000006,63.0,10.0,0,14,0,1,
7,0,1718874870000,2024-06-20,17:14:30,A0003,123.149311,32.344935,63.4,14.0,0,14,0,1,
7,0,1718874875000,2024-06-20,17:14:35,A0003,123.15023899999998,32.344976,60.0,6.0,0,14,0,1,
7,0,1718874880000,2024-06-20,17:14:40,A0003,123.151064,32.345015000000004,52.7,0.0,0,14,0,0,
7,0,1718874885000,2024-06-20,17:14:45,A0003,123.151742,32.345055,37.9,0.0,101,14,1,0,
