road_id,date,time,A1,A2,B1,B2
A0003,2024-06-17,16:30:08,0,0,1,0
A0003,2024-06-17,16:30:09,0,0,1,0
A0003,2024-06-17,16:30:10,0,0,1,0
A0003,2024-06-17,16:30:11,0,0,1,0
A0003,2024-06-17,16:30:12,0,0,1,0
A0003,2024-06-17,16:30:13,0,0,1,0
A0003,2024-06-17,16:30:14,0,0,1,0
A0003,2024-06-17,16:30:15,0,0,1,0
A0003,2024-06-17,16:30:16,0,0,1,0
A0003,2024-06-17,16:30:17,0,0,1,0
A0003,2024-06-17,16:30:18,0,0,1,0
A0003,2024-06-17,16:30:19,0,0,1,0
A0003,2024-06-17,16:30:20,1,0,1,0
A0003,2024-06-17,16:30:21,1,0,1,0
A0003,2024-06-17,16:30:22,1,0,1,0
A0003,2024-06-17,16:30:23,1,0,1,0
A0003,2024-06-17,16:30:24,1,0,1,0
A0003,2024-06-17,16:30:25,2,0,1,0
A0003,2024-06-17,16:30:26,2,0,1,0
A0003,2024-06-17,16:30:27,3,0,1,0
A0003,2024-06-17,16:30:28,3,0,1,0
A0003,2024-06-17,16:30:29,4,0,1,0
A0003,2024-06-17,16:30:30,4,0,1,0
A0003,2024-06-17,16:30:31,5,0,1,0
A0003,2024-06-17,16:30:32,5,0,1,0
A0003,2024-06-17,16:30:33,5,0,1,0
A0003,2024-06-17,16:30:34,5,0,0,0
A0003,2024-06-17,16:30:35,5,0,0,0
A0003,2024-06-17,16:30:36,5,0,0,0
A0003,2024-06-17,16:30:37,4,0,0,0
A0003,2024-06-17,16:30:38,4,0,0,0
A0003,2024-06-17,16:30:39,3,0,0,0
A0003,2024-06-17,16:30:40,3,0,0,0
A0003,2024-06-17,16:30:41,2,0,0,0
A0003,2024-06-17,16:30:42,2,0,1,0
A0003,2024-06-17,16:30:43,2,0,1,0
A0003,2024-06-17,16:30:44,2,0,1,0
A0003,2024-06-17,16:30:45,2,0,1,0
A0003,2024-06-17,16:30:46,2,0,1,0
A0003,2024-06-17,16:30:47,2,0,1,0
A0003,2024-06-17,16:30:48,1,0,1,0
A0003,2024-06-17,16:30:49,1,0,1,0
A0003,2024-06-17,16:30:50,1,0,1,0
A0003,2024-06-17,16:30:51,1,0,1,0
A0003,2024-06-17,16:30:52,1,0,1,0
A0003,2024-06-17,16:30:53,1,0,1,0
A0003,2024-06-17,16:30:54,1,0,1,0
A0003,2024-06-17,16:30:55,0,0,1,0
A0003,2024-06-17,16:30:56,0,0,1,0
A0003,2024-06-17,16:30:57,0,0,1,0
A0003,2024-06-17,16:30:58,0,0,1,0
A0003,2024-06-17,16:30:59,0,0,1,0
